"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
no_account_11,request_details,,descriptive,"<span style=""font-weight: normal;"">If you didn't find the user in the list above, this user will need a Department of Medicine account configured.



<strong>Please give us the following details AND complete an <a href=""http://www.medicine.wisc.edu/sites/default/files/affiliated_computer_systems_authorization_request.pdf"" target=""_blank"">Affiliated Access Form</a>.</strong></span>",,,,,,,"[user_11_in_list] = '0'",,,,,,
manual_user_11,request_details,,text,"First and Last Name",,,,,,,"[user_11_in_list] = '0'",,,,,,
manual_user_11_email,request_details,,text,"Email Address",,,email,,,,"[user_11_in_list] = '0'",,,,,,
role_user_11,request_details,,dropdown,Role,"1, Administrator | 2, Data Entry | 3, Read Only | 4, Other",,,,,,"[add_new_user_10] = '1'",y,,,,,
add_new_user_11,request_details,,yesno,"Add another user?",,,,,,,"[add_new_user_10] = '1'",y,,,,,
user_12,request_details,"User 12",text,"First and Last Name",,,,,,,"[add_new_user_11] = '1'",,,,,,
user_12_in_list,request_details,,yesno,"Did you find the user in the list above?",,,,,,,"[add_new_user_11] = '1'",y,,,,,
no_account_12,request_details,,descriptive,"<span style=""font-weight: normal;"">If you didn't find the user in the list above, this user will need a Department of Medicine account configured.



<strong>Please give us the following details AND complete an <a href=""http://www.medicine.wisc.edu/sites/default/files/affiliated_computer_systems_authorization_request.pdf"" target=""_blank"">Affiliated Access Form</a>.</strong></span>",,,,,,,"[user_12_in_list] = '0'",,,,,,
manual_user_12,request_details,,text,"First and Last Name",,,,,,,"[user_12_in_list] = '0'",,,,,,
manual_user_12_email,request_details,,text,"Email Address",,,email,,,,"[user_12_in_list] = '0'",,,,,,
role_user_12,request_details,,dropdown,Role,"1, Administrator | 2, Data Entry | 3, Read Only | 4, Other",,,,,,"[add_new_user_11] = '1'",y,,,,,
add_new_user_12,request_details,,yesno,"Add another user?",,,,,,,"[add_new_user_11] = '1'",y,,,,,
user_13,request_details,"User 13",text,"First and Last Name",,,,,,,"[add_new_user_12] = '1'",,,,,,
user_13_in_list,request_details,,yesno,"Did you find the user in the list above?",,,,,,,"[add_new_user_12] = '1'",y,,,,,
no_account_13,request_details,,descriptive,"<span style=""font-weight: normal;"">If you didn't find the user in the list above, this user will need a Department of Medicine account configured.



<strong>Please give us the following details AND complete an <a href=""http://www.medicine.wisc.edu/sites/default/files/affiliated_computer_systems_authorization_request.pdf"" target=""_blank"">Affiliated Access Form</a>.</strong></span>",,,,,,,"[user_13_in_list] = '0'",,,,,,
manual_user_13,request_details,,text,"First and Last Name",,,,,,,"[user_13_in_list] = '0'",,,,,,
manual_user_13_email,request_details,,text,"Email Address",,,email,,,,"[user_13_in_list] = '0'",,,,,,
role_user_13,request_details,,dropdown,Role,"1, Administrator | 2, Data Entry | 3, Read Only | 4, Other",,,,,,"[add_new_user_12] = '1'",y,,,,,
add_new_user_13,request_details,,yesno,"Add another user?",,,,,,,"[add_new_user_12] = '1'",y,,,,,
user_14,request_details,"User 14",text,"First and Last Name",,,,,,,"[add_new_user_13] = '1'",,,,,,
user_14_in_list,request_details,,yesno,"Did you find the user in the list above?",,,,,,,"[add_new_user_13] = '1'",y,,,,,
no_account_14,request_details,,descriptive,"<span style=""font-weight: normal;"">If you didn't find the user in the list above, this user will need a Department of Medicine account configured.



<strong>Please give us the following details AND complete an <a href=""http://www.medicine.wisc.edu/sites/default/files/affiliated_computer_systems_authorization_request.pdf"" target=""_blank"">Affiliated Access Form</a>.</strong></span>",,,,,,,"[user_14_in_list] = '0'",,,,,,
manual_user_14,request_details,,text,"First and Last Name",,,,,,,"[user_14_in_list] = '0'",,,,,,
manual_user_14_email,request_details,,text,"Email Address",,,email,,,,"[user_14_in_list] = '0'",,,,,,
role_user_14,request_details,,dropdown,Role,"1, Administrator | 2, Data Entry | 3, Read Only | 4, Other",,,,,,"[add_new_user_13] = '1'",y,,,,,
add_new_user_14,request_details,,yesno,"Add another user?",,,,,,,"[add_new_user_13] = '1'",y,,,,,
user_15,request_details,"User 15",text,"First and Last Name",,,,,,,"[add_new_user_14] = '1'",,,,,,
user_15_in_list,request_details,,yesno,"Did you find the user in the list above?",,,,,,,"[add_new_user_14] = '1'",y,,,,,
no_account_15,request_details,,descriptive,"<span style=""font-weight: normal;"">If you didn't find the user in the list above, this user will need a Department of Medicine account configured.



<strong>Please give us the following details AND complete an <a href=""http://www.medicine.wisc.edu/sites/default/files/affiliated_computer_systems_authorization_request.pdf"" target=""_blank"">Affiliated Access Form</a>.</strong></span>",,,,,,,"[user_15_in_list] = '0'",,,,,,
manual_user_15,request_details,,text,"First and Last Name",,,,,,,"[user_15_in_list] = '0'",,,,,,
manual_user_15_email,request_details,,text,"Email Address",,,email,,,,"[user_15_in_list] = '0'",,,,,,
role_user_15,request_details,,dropdown,Role,"1, Administrator | 2, Data Entry | 3, Read Only | 4, Other",,,,,,"[add_new_user_14] = '1'",y,,,,,
add_new_user_15,request_details,,yesno,"Add another user?",,,,,,,"[add_new_user_14] = '1'",y,,,,,
user_16,request_details,"User 16",text,"First and Last Name",,,,,,,"[add_new_user_15] = '1'",,,,,,
user_16_in_list,request_details,,yesno,"Did you find the user in the list above?",,,,,,,"[add_new_user_15] = '1'",y,,,,,
no_account_16,request_details,,descriptive,"<span style=""font-weight: normal;"">If you didn't find the user in the list above, this user will need a Department of Medicine account configured.



<strong>Please give us the following details AND complete an <a href=""http://www.medicine.wisc.edu/sites/default/files/affiliated_computer_systems_authorization_request.pdf"" target=""_blank"">Affiliated Access Form</a>.</strong></span>",,,,,,,"[user_16_in_list] = '0'",,,,,,
manual_user_16,request_details,,text,"First and Last Name",,,,,,,"[user_16_in_list] = '0'",,,,,,
manual_user_16_email,request_details,,text,"Email Address",,,email,,,,"[user_16_in_list] = '0'",,,,,,
role_user_16,request_details,,dropdown,Role,"1, Administrator | 2, Data Entry | 3, Read Only | 4, Other",,,,,,"[add_new_user_15] = '1'",y,,,,,
add_new_user_16,request_details,,yesno,"Add another user?",,,,,,,"[add_new_user_15] = '1'",y,,,,,
user_17,request_details,"User 17",text,"First and Last Name",,,,,,,"[add_new_user_16] = '1'",,,,,,
user_17_in_list,request_details,,yesno,"Did you find the user in the list above?",,,,,,,"[add_new_user_16] = '1'",y,,,,,
no_account_17,request_details,,descriptive,"<span style=""font-weight: normal;"">If you didn't find the user in the list above, this user will need a Department of Medicine account configured.



<strong>Please give us the following details AND complete an <a href=""http://www.medicine.wisc.edu/sites/default/files/affiliated_computer_systems_authorization_request.pdf"" target=""_blank"">Affiliated Access Form</a>.</strong></span>",,,,,,,"[user_17_in_list] = '0'",,,,,,
manual_user_17,request_details,,text,"First and Last Name",,,,,,,"[user_17_in_list] = '0'",,,,,,
manual_user_17_email,request_details,,text,"Email Address",,,email,,,,"[user_17_in_list] = '0'",,,,,,
role_user_17,request_details,,dropdown,Role,"1, Administrator | 2, Data Entry | 3, Read Only | 4, Other",,,,,,"[add_new_user_16] = '1'",y,,,,,
add_new_user_17,request_details,,yesno,"Add another user?",,,,,,,"[add_new_user_16] = '1'",y,,,,,
user_18,request_details,"User 18",text,"First and Last Name",,,,,,,"[add_new_user_17] = '1'",,,,,,
user_18_in_list,request_details,,yesno,"Did you find the user in the list above?",,,,,,,"[add_new_user_17] = '1'",y,,,,,
no_account_18,request_details,,descriptive,"<span style=""font-weight: normal;"">If you didn't find the user in the list above, this user will need a Department of Medicine account configured.



<strong>Please give us the following details AND complete an <a href=""http://www.medicine.wisc.edu/sites/default/files/affiliated_computer_systems_authorization_request.pdf"" target=""_blank"">Affiliated Access Form</a>.</strong></span>",,,,,,,"[user_18_in_list] = '0'",,,,,,
manual_user_18,request_details,,text,"First and Last Name",,,,,,,"[user_18_in_list] = '0'",,,,,,
manual_user_18_email,request_details,,text,"Email Address",,,email,,,,"[user_18_in_list] = '0'",,,,,,
role_user_18,request_details,,dropdown,Role,"1, Administrator | 2, Data Entry | 3, Read Only | 4, Other",,,,,,"[add_new_user_17] = '1'",y,,,,,
add_new_user_18,request_details,,yesno,"Add another user?",,,,,,,"[add_new_user_17] = '1'",y,,,,,
user_19,request_details,"User 19",text,"First and Last Name",,,,,,,"[add_new_user_18] = '1'",,,,,,
user_19_in_list,request_details,,yesno,"Did you find the user in the list above?",,,,,,,"[add_new_user_18] = '1'",y,,,,,
no_account_19,request_details,,descriptive,"<span style=""font-weight: normal;"">If you didn't find the user in the list above, this user will need a Department of Medicine account configured.



<strong>Please give us the following details AND complete an <a href=""http://www.medicine.wisc.edu/sites/default/files/affiliated_computer_systems_authorization_request.pdf"" target=""_blank"">Affiliated Access Form</a>.</strong></span>",,,,,,,"[user_19_in_list] = '0'",,,,,,
manual_user_19,request_details,,text,"First and Last Name",,,,,,,"[user_19_in_list] = '0'",,,,,,
manual_user_19_email,request_details,,text,"Email Address",,,email,,,,"[user_19_in_list] = '0'",,,,,,
role_user_19,request_details,,dropdown,Role,"1, Administrator | 2, Data Entry | 3, Read Only | 4, Other",,,,,,"[add_new_user_18] = '1'",y,,,,,
add_new_user_19,request_details,,yesno,"Add another user?",,,,,,,"[add_new_user_18] = '1'",y,,,,,
user_20,request_details,"User 20",text,"First and Last Name",,,,,,,"[add_new_user_19] = '1'",,,,,,
user_20_in_list,request_details,,yesno,"Did you find the user in the list above?",,,,,,,"[add_new_user_19] = '1'",y,,,,,
no_account_20,request_details,,descriptive,"<span style=""font-weight: normal;"">If you didn't find the user in the list above, this user will need a Department of Medicine account configured.



<strong>Please give us the following details AND complete an <a href=""http://www.medicine.wisc.edu/sites/default/files/affiliated_computer_systems_authorization_request.pdf"" target=""_blank"">Affiliated Access Form</a>.</strong></span>",,,,,,,"[user_20_in_list] = '0'",,,,,,
manual_user_20,request_details,,text,"First and Last Name",,,,,,,"[user_20_in_list] = '0'",,,,,,
manual_user_20_email,request_details,,text,"Email Address",,,email,,,,"[user_20_in_list] = '0'",,,,,,
role_user_20,request_details,,dropdown,Role,"1, Administrator | 2, Data Entry | 3, Read Only | 4, Other",,,,,,"[add_new_user_19] = '1'",y,,,,,
add_new_user_20,request_details,,yesno,"Add another user?",,,,,,,"[add_new_user_19] = '1'",,,,,,
more_than_20,request_details,"Request Additional Users",descriptive,"<span style=""font-weight:normal;"">If you need additional users, please contact the REDCap Administator by sending an email to <a href=""mailto:redcaphelp@dom.wisc.edu"">redcaphelp@dom.wisc.edu</a>.



<strong>Feel free to submit the users you have entered information for up to this point.</strong>

</span>",,,,,,,"[add_new_user_20] = '1'",,,,,,
